Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
184,Intel Core i5-4200H,512KB + 3MB,47,2800 ? 3400,2/4,43.2,4361,5719,10739,1.46,3.53,129.5,323.5,15.77,103,20.45
185,Intel Core i7-4558U,512KB + 4MB,28,2800 ? 3300,2/4,42.4,4264,4793,10305,1.45,3.48,,,16.25,107.19,20.37
186,Intel Core i5-5257U,512KB + 3MB,28,2700 ? 3100,2/4,35.4,4190,4825,10674,1.42,3.42,124,316,,107.31,20.19
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
187,Intel Core i5-4308U,512KB + 3MB,28,2800 ? 3300,2/4,,,,,,,,,,,
188,AMD A10-7850K,4MB,95,3700 ? 4000,4/4,36.6,4748,3216,10278,1.01,3.59,86,318,13.1,114,24.1
189,AMD A10-6800K,4MB,100,4100 ? 4400,4/4,38,4885,3428,10077,1.14,3.61,100,326,16.1,111,23.3
191,Intel Core i5-4310M,512KB + 3MB,37,2700 ? 3400,2/4,42.5,,4664,9622,1.48,3.58,128.5,326,15.61,105,20.7
192,Intel Core i7-6600U,512KB + 4MB,15,2600 ? 3400,2/4,44.2,4333.5,5298,11320,1.61,3.58,141,321,14.72,109,20
193,Intel Core i7-6650U,512KB + 4MB,15,2200 ? 3400,2/4,48.7,,5223,11564,1.51,3.8,132,342,14.87,,
194,Intel Core i7-6560U,512KB + 4MB,15,2200 ? 3200,2/4,44,,5054,11205,1.52,3.45,132,314,14.56,110,20.34
195,Intel Core i5-7200U,512KB + 3MB,15,2500 ? 3100,2/4,42.8,4348,4986,11318,1.46,3.65,128,327,15.52,113,21.57
196,Intel Core i5-4400E,512KB + 3MB,37,2700 ? 3300,2/4,,,,,,,,,,,
197,Intel Core i5-4300M,512KB + 3MB,37,2600 ? 3300,2/4,36.9,4147.5,4721,10388,1.39,3.37,126.5,313.5,,,
199,Intel Core i3-7100H,512KB + 3MB,35,3000,2/4,40.2,4231,4870,11172,,3.61,130,327.5,15.9,113.6,21.3
200,Intel Core i7-3520M,512KB + 4MB,35,2900 ? 3600,2/4,41.9,4134,4855,10467,1.46,3.36,,,15.43,98.58,18.86
201,Intel Core i7-6500U,512KB + 4MB,15,2500 ? 3100,2/4,42,4231,4886,10844,1.46,3.52,128,316,15.68,105,20.44
202,Intel Core i7-5600U,512KB + 4MB,15,2600 ? 3200,2/4,41.5,3827,4944,10263,1.51,3.25,130,297,15.53,99,18.34
203,Intel Core i7-5650U,512KB + 4MB,15,2200 ? 3200,2/4,40.9,3967,4980,10008,1.47,3.14,112,296,15.85,107.23,18.98
204,Intel Core i5-6360U,512KB + 4MB,15,2000 ? 3100,2/4,41.5,4099,4846,10525,1.41,3.38,125,309,18.4,108.6,20.6
205,Intel Core i5-4210M,512KB + 3MB,37,2600 ? 3200,2/4,40.1,3981.5,4583.5,10185.5,1.39,3.35,122,305.5,17.13,95.22,19.33
206,Intel Core i5-6300U,512KB + 3MB,15,2400 ? 3000,2/4,41,4050,4678.5,10573,1.4,3.4,122,307,16.18,107.48,20.18
207,Intel Core i5-4288U,512KB + 3MB,28,2600 ? 3100,2/4,,,,,,,,,,,
208,Intel Core i5-4278U,512KB + 3MB,28,2600 ? 3100,2/4,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
209,Intel Core i5-3380M,512KB + 3MB,35,2900 ? 3600,2/4,12.9,,,,,,,278,,,
210,Intel Core i5-3360M,512KB + 3MB,35,2800 ? 3500,2/4,36.7,3994.5,4692,10140.5,1.4,3.26,,,16.29,35.35,6.51
211,AMD A10-7700K,4MB,95,3400 ? 3800,4/4,35.2,4500,3004,9821,0.94,3.45,83,285,13.7,110,23.1
212,AMD A8-7650K,4MB,95,3300 ? 3800,4/4,34.9,4410,2904,9456,0.96,3.35,84,296,14.2,108,22.7
213,Intel Core i3-3220,+ 3MB,55,3300,2/4,40.9,4019,4626,10193,1.38,3.31,,,14.66,98.55,18.82
214,Intel Core i5-4200M,512KB + 3MB,37,2500 ? 3100,2/4,39.3,3882.5,4485,9962,1.35,3.24,118,297,17.3,94.51,18.84
215,Intel Core i5-3340M,512KB + 3MB,35,2700 ? 3400,2/4,31.3,,,,1.39,3.16,,,,,
216,Intel Core i7-2640M,512KB + 4MB,35,2800 ? 3500,2/4,39.6,3927,4443,9778,1.36,3.15,,,15.14,89.35,17
217,Intel Core i7-5500U,512KB + 4MB,15,2400 ? 3000,2/4,39.7,3826,4615,9791,1.41,3.16,121,289,16.76,94.6,17.8
218,Intel Core i7-5550U,512KB + 4MB,15,2000 ? 3000,2/4,29.8,,,,1.32,3.28,,,,,
219,Intel Core i5-6260U,512KB + 4MB,15,1800 ? 2900,2/4,39.6,3883,4481,9949,1.33,3.26,117,298,18,105,19.3
220,Intel Core i5-3320M,512KB + 3MB,35,2600 ? 3300,2/4,39.3,3767,4415.5,9550,1.33,3.06,,,17.36,90.94,17.52
221,Intel Core i5-4258U,512KB + 3MB,28,2400 ? 2900,2/4,38.5,3865,4571.5,10121,1.24,3.04,109.5,276,17.8,97.2,18.5
222,AMD A8-6600K,4MB,100,3900 ? 4200,4/4,36.9,4701,3230,8040,0.96,3.41,,,17.9,106,22.2
223,AMD A10-5800K,4MB,100,3800 ? 4200,4/4,37.2,4464,3093.5,9275.5,1.03,3.32,,,15.9,106.6,21.85
225,Intel Core i5-3230M,512KB + 3MB,35,2600 ? 3200,2/4,35.6,3760,4268,9159,1.25,2.97,105,258,17.83,59.96,11.45
226,AMD A8-5600K,4MB,100,3600 ? 3900,4/4,34.6,4295,2941,8838,0.98,3.2,87,292,16.7,102.44,20.93
227,Intel Core i7-2620M,512KB + 4MB,35,2700 ? 3400,2/4,41.1,3827,4333,9433,,3.06,,,16.18,,
228,Intel Core i7-4600U,512KB + 4MB,15,2100 ? 3300,2/4,38.8,3223,4668.5,8444,1.42,2.67,124,248,17.1,91.7,16.29
229,Intel Core i7-4650U,512KB + 4MB,15,1700 ? 3300,2/4,38.7,3249,4714.5,8620.5,1.4,2.65,123,256,18.09,89.08,16.01
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
230,Intel Core i3-7167U,512KB + 3MB,28,2800,2/4,,,,,,,,,,,
231,Intel Core i5-6198DU,512KB + 3MB,15,2300 ? 2800,2/4,39.4,3769,4491,9954,1.34,3.22,117,290,17.98,102.3,19.1
232,Intel Core i5-6200U,512KB + 3MB,15,2300 ? 2800,2/4,39,3787,4383,9871.5,1.32,3.2,115,289,17.75,100,19
233,Intel Core i3-7130U,512KB + 3MB,15,2700,2/4,,,,,,,,,,,
234,Intel Core i3-6167U,512KB + 3MB,28,2700,2/4,,,,,,,,,,,
235,Intel Core i3-6100H,512KB + 3MB,35,2700,2/4,33.7,3829,4380,9989,1.3,3.22,108,292,,,
236,Intel Core i5-5300U,512KB + 3MB,15,2300 ? 2900,2/4,38.3,3665,4429,9312,1.35,3,117,270,18.13,87.95,16.62
237,Intel Core i7-3687U,512KB + 4MB,17,2100 ? 3300,2/4,,,,,,,,,,,
238,Intel Core i5-5350U,512KB + 3MB,15,1800 ? 2900,2/4,31.8,,,,1.24,2.98,116,277,,,
239,AMD A8-3850,4MB,100,2900,4/4,37,4027,2649,9534,,3.42,,,14.2,,
240,Intel Core i7-4510U,512KB + 4MB,15,2000 ? 3100,2/4,38.1,3341.5,4486,8931,1.35,2.79,119,248,17,88.76,16.39
241,Intel Core i5-3210M,512KB + 3MB,35,2500 ? 3100,2/4,37.7,3553,4168.5,8936,1.25,2.87,,,18.56,86.56,16.4
246,Intel Core i5-2540M,512KB + 3MB,35,2600 ? 3300,2/4,43,3682,4171,9109,1.28,2.96,,,17.22,,
247,Intel Core i7-3667U,512KB + 4MB,17,2000 ? 3200,2/4,38.1,3594.5,4215,8809.5,1.32,2.92,,,17.8,87.01,15.43
248,Intel Core i7-4500U,512KB + 4MB,15,1800 ? 3000,2/4,37.7,3494,4343,8700,1.31,2.75,116,260,19.61,90.6,16.39
249,Intel Core i7-4550U,512KB + 4MB,15,1500 ? 3000,2/4,31.5,3443,4395,8715,1.33,2.78,118,253,,90.77,15.91
251,Intel Core i5-4310U,512KB + 3MB,15,2000 ? 3000,2/4,39.3,3463,5897,8960,1.28,2.9,110,263,19.4,86.8,16.9
252,Intel Core i5-4360U,512KB + 3MB,15,1500 ? 3000,2/4,,,,,,,,,,,
253,Intel Core i7-3537U,512KB + 4MB,17,2000 ? 3100,2/4,40.2,3645,4271,9000,1.27,2.88,104,247,18.42,,
254,Intel Pentium G4500T,512KB + 4MB,35,3000,2/2,38.1,3583,4828,9206,1.19,2.82,118,245,21.7,91.3,17
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
255,Intel Core i5-5200U,512KB + 3MB,15,2200 ? 2700,2/4,36.4,3361,4135.5,8641,1.24,2.82,108,259,18.25,85.3,16.1
256,Intel Core i5-5250U,512KB + 3MB,15,1600 ? 2700,2/4,36.2,3393,4104,8721,1.16,2.79,108,261,19.5,88.46,16.46
257,Intel Core i7-7Y75,512KB + 4MB,5,1300 ? 3600,2/4,40.8,3309,5496,9392,1.54,2.98,125.5,247,17.39,91.15,15.99
258,Intel Core i5-4300U,512KB + 3MB,15,1900 ? 2900,2/4,35.8,3242,4070,8601,1.23,2.77,108,253,19.17,80.13,14.9
259,Intel Core i5-4350U,512KB + 3MB,15,1400 ? 2900,2/4,,,,,,,,,,,
260,AMD FX-9830P,2MB,25,3000 ? 3700,4/4,38.5,,3033,9822,1.1,3.64,93,301,10.27,,
261,AMD PRO A12-9830B,2MB,25,3000 ? 3700,4/4,,,,,,,,,,,
262,Intel Core i5-2520M,512KB + 3MB,35,2500 ? 3200,2/4,39.5,3541.5,4040.5,8814.5,,2.86,,,18,,
263,Intel Core i3-5157U,512KB + 3MB,28,2500,2/4,28.4,,,,1.16,2.44,98,259,,,
264,Intel Core i5-7Y54,512KB + 4MB,5,1200 ? 3200,2/4,35.7,2941,4392,7551,1.27,2.45,112,221,16.75,73,13
265,Intel Core i5-7Y57,512KB + 4MB,5,1200 ? 3300,2/4,35.8,3698,5132,9888,1.52,3,133,273,,106.93,17.24
266,Intel Core i3-6157U,512KB + 3MB,28,2400,2/4,,,,,,,,,,,
267,Intel Core i3-7100U,512KB + 3MB,15,2400,2/4,38.5,,3874,8757.5,1.03,2.85,90,257,20.25,,
268,Apple A11 Bionic,,,,6/6,,,,,,,,,,,
269,Apple A10X Fusion,,,2390,4/2,,,,,,,,,,,
270,Intel Core i3-6100U,512KB + 3MB,15,2300,2/4,34.3,3241.5,3714,8426,1.11,2.75,97,247,23.51,83.5,15.97
271,Intel Core i3-4110M,512KB + 3MB,37,2600,2/4,,,,,,,,,,,
272,AMD FX-9800P,2MB,15,2700 ? 3600,4/4,37.3,,,,0.91,2.86,74,236,14.4,,
273,AMD PRO A12-9800B,2MB,15,2700 ? 3600,4/4,30.3,3249,2592.5,7055.5,0.88,2.59,76,225.5,13.8,77,16.5
274,Intel Core i5-2450M,512KB + 3MB,35,2500 ? 3100,2/4,36.2,3441.5,3918.5,8542,1.2,2.76,,,19.04,78.63,14.61
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
275,Intel Core i7-3517U,512KB + 4MB,17,1900 ? 3000,2/4,36.8,3430,4024.5,8596.5,1.22,2.78,,,18.8,82.99,15.91
278,Intel Core i3-4100M,512KB + 3MB,37,2500,2/4,,,,,,,,,,,
280,Intel Core i5-2435M,512KB + 3MB,35,2400 ? 3000,2/4,,,,,,,,,,,
281,Intel Core i5-2430M,512KB + 3MB,35,2400 ? 3000,2/4,33.2,3310.5,3787,8222,,2.66,,,18.89,76.5,14.71
282,Intel Pentium 4415U,512KB + 2MB,15,2300,2/4,33.6,3249,3587,8169,1.01,2.71,94,239.5,20.86,85.7,16
283,Intel Core i3-4000M,512KB + 3MB,37,2400,2/4,33.4,3098,3581,8042,1.06,2.6,95,240,20,79.1,15.15
284,Intel Core i3-4100E,512KB + 3MB,37,2400,2/4,,,,,,,,,,,
285,Intel Core i3-3130M,512KB + 3MB,35,2600,2/4,,,,,,,,,,,
286,Intel Core i5-2415M,512KB + 3MB,35,2300 ? 2900,2/4,36.9,2887,3666,7444,,2.42,,,19,,
287,Intel Core i5-2410M,512KB + 3MB,35,2300 ? 2900,2/4,32.7,3219,3663,7962.5,,2.58,,,19.1,76.3,14.3
288,Intel Core i5-3437U,512KB + 3MB,17,1900 ? 2900,2/4,35.1,3398,3972,8269,1.19,2.68,101,224,20.41,80.45,15.19
289,Intel Core m3-7Y32,512KB + 4MB,5,1000 ? 3000,2/4,36.3,,,,,,120,265,,,
292,AMD A12-9720P,2MB,15,2700 ? 3600,4/4,34.2,,2743,7361,0.94,2.65,72.5,234.5,13.01,,
293,AMD A12-9700P,2MB,15,2500 ? 3400,4/4,23,3498,2429,6168,0.85,2.27,79,225.5,,84.64,16.66
294,AMD FX-8800P,2MB,12,2100 ? 3400,4/4,33.2,4227,2604,7860,0.96,3.36,82,277,12.02,93.47,21.07
295,AMD Pro A12-8800B,2MB,12,2100 ? 3400,4/4,29,2769,2236,6219.5,0.91,2.52,72,206,16.49,75.85,15.85
296,Intel Core i5-4210U,512KB + 3MB,15,1700 ? 2700,2/4,34.6,3200,3843,7799,1.16,2.55,102,237,21.23,79.75,15.15
297,Intel Core i5-4260U,512KB + 3MB,15,1400 ? 2700,2/4,30.4,3222,3951,7913,1.2,2.63,105,239,,,
298,AMD A10-9620P,2MB,15,2500 ? 3400,4/4,29.9,,2277,7420,0.81,2.66,72,230,14.41,76.6,16.3
299,Intel Core i3-3120M,512KB + 3MB,35,2500,2/4,37.2,3057,3428,6867,0.96,2.45,,,22.02,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
300,Intel Core i5-3427U,512KB + 3MB,17,1800 ? 2800,2/4,35.2,3179.5,3722.5,7900,1.13,2.51,,,19.85,80.66,14.91
301,Intel Core i5-4402E,512KB + 3MB,25,1600 ? 2700,2/4,,,,,,,,,,,
302,Intel Core m7-6Y75,512KB + 4MB,5,1200 ? 3100,2/4,33.9,2730,3854,6302,1.08,2.47,102,205,19,89,15.5
303,Intel Core m3-7Y30,512KB + 4MB,5,1000 ? 2600,2/4,36.1,3406.5,4086,8638.5,1.24,2.76,105,250,20.15,85.3,15.57
304,Intel Pentium G860,256KB + 3MB,65,3000,2/2,35,3065,3964,7695,1.2,2.34,,,23.6,70.31,12.69
306,Intel Core i5-4200U,512KB + 3MB,15,1600 ? 2600,2/4,33.8,3053,3725,7636,1.12,2.48,99,229,22.72,77.49,14.54
307,Intel Core i5-4250U,512KB + 3MB,15,1300 ? 2600,2/4,34.6,3024,3679.5,7692.5,1.12,2.47,,,21.87,77.81,14.57
308,Intel Core i3-5020U,512KB + 3MB,15,2200,2/4,,,,,,,,,,,
309,AMD A10-9600P,2MB,15,2400 ? 3300,4/4,30.4,3287,2447,6508,0.9,2.6,76,216,15.3,85.44,16.34
310,Intel Core i3-3110M,512KB + 3MB,35,2400,2/4,34.2,2988,3346,7353,0.98,2.38,81.5,209,22.07,,
313,AMD FX-7600P,4MB,35,2700 ? 3600,4/4,30.6,3569,2555,7418,0.85,2.46,75,228,16.4,81.5,17.6
314,Intel Pentium 4405U,512KB + 2MB,15,2100,2/4,,,,,,,,,,,
316,Intel Core i7-2649M,512KB + 4MB,25,2300 ? 3200,2/4,,,,,,,,,,,
319,Intel Core i3-5010U,512KB + 3MB,15,2100,2/4,31,2828.5,3114,7222,0.95,2.4,85,219,23.2,73.9,13.6
320,Intel Core i3-5015U,512KB + 3MB,15,2100,2/4,31,2866,3272,6975,0.97,2.34,85,214,23.45,68.9,13.4
321,Intel Core i3-6006U,512KB + 3MB,15,2000,2/4,32.2,,3231.5,7376,0.96,2.39,84,217,24.3,74.5,14.1
322,Intel Core i3-2370M,512KB + 3MB,35,2400,2/4,36.2,2869.5,3135,7064,0.95,2.29,,,22.53,,
324,Intel Core i3-5005U,512KB + 3MB,15,2000,2/4,30.4,2713,3133,6927,0.95,2.28,82,208,24.41,69.7,12.96
325,Intel Core i3-2350M,512KB + 3MB,35,2300,2/4,29.6,2755,3026.5,6789.5,0.91,2.2,79,196,24.02,65.3,12.1
326,Intel Core i3-2348M,512KB + 3MB,35,2300,2/4,21,2829,,,0.9,2.18,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
328,Intel Core i5-3337U,512KB + 3MB,17,1800 ? 2700,2/4,33.3,3145,3659,7678,1.09,2.48,95,222,22.24,76.55,14.16
329,Intel Core m5-6Y57,512KB + 4MB,5,1100 ? 2800,2/4,33.7,2596,3849,6428,1.13,1.98,101,180,21.9,92.55,11.72
330,Intel Core m5-6Y54,512KB + 4MB,5,1100 ? 2700,2/4,33,2935,3962,6898.5,1.1,2.39,103,222.5,26.08,62.59,11.12
331,AMD A10-8700P,2MB,12,1800 ? 3200,4/4,28.7,2977.5,2334,6394,0.86,2.34,69,194,17.19,73.67,15.15
332,AMD Pro A10-8700B,2MB,12,1800 ? 3200,4/4,26.3,2798,2200,5907,0.82,2.29,70,192,30.7,45.4,9.07
336,Intel Core i7-4610Y,512KB + 4MB,12,1700 ? 2900,2/4,34.4,2735,4140,6762,1.24,2.15,107,192,19.65,72.53,12.38
339,Intel Core i7-2629M,512KB + 4MB,25,2100 ? 3000,2/4,,,,,,,,,,,
342,Intel Core i7-2677M,512KB + 4MB,17,1800 ? 2900,2/4,36.1,2729,3614,6672,,2.13,,,19.6,,
343,AMD A10-7400P,4MB,35,2500 ? 3400,4/4,,,,,,,,,,,
344,Intel Pentium 3560M,512KB + 2MB,37,2400,2/2,,,,,,,,,,,
345,Intel Core i3-2330M,512KB + 3MB,35,2200,2/4,33.7,2627,2888,6465.5,,2.12,,,25.11,,
346,Intel Core i3-2328M,512KB + 3MB,35,2200,2/4,30.2,2697,2880,6475,0.88,2.1,,,25.16,62.16,11.76
347,Intel Pentium 2030M,512KB + 2MB,35,2500,2/2,,,,,,,,,,,
348,Intel Pentium 3550M,512KB + 2MB,37,2300,2/2,,,,,,,,,,,
353,Intel Core i5-3317U,512KB + 3MB,17,1700 ? 2600,2/4,33.5,2984.5,3487.5,7337,1.05,2.38,,,22.39,73.67,13.69
354,AMD A8-8600P,2MB,12,1600 ? 3000,4/4,,,,,,,,,,,
355,AMD Pro A8-8600B,2MB,12,1600 ? 3000,4/4,28.1,,2111,5885,0.81,2.18,69,181,18.78,67.5,13.5
356,AMD A8-7200P,4MB,35,2400 ? 3300,4/4,,,,,,,,,,,
361,AMD A10-5750M,4MB,35,2500 ? 3500,4/4,29.6,3238,2579,6451,0.85,2.31,75,207.5,22.5,76,15
362,AMD A10-5757M,4MB,35,2500 ? 3500,4/4,27,2986,2182,3774,0.88,2.23,,,28.7,39.24,7.64
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
363,Intel Core i7-2637M,512KB + 4MB,17,1700 ? 2800,2/4,32.3,2834,3600,7074,1.09,2.23,93,201,21.7,69.5,12.1
366,Intel Core i7-2657M,512KB + 4MB,17,1600 ? 2700,2/4,20.1,2546,3491,6229,,1.91,,,,,
367,Intel Core i7-3689Y,512KB + 4MB,13,1500 ? 2600,2/4,,,,,,,,,,,
368,Intel Pentium 2020M,512KB + 2MB,35,2400,2/2,30.9,2449,3299,6312,0.98,1.92,,,31.53,61.29,11
370,Intel Core i3-4158U,512KB + 3MB,28,2000,2/4,29.3,2690.5,2974,6393,0.89,2.16,77,194,26.77,67.5,12.7
371,Intel Pentium 3825U,512KB + 2MB,15,1900,2/4,29,2594,2951,6537,0.9,2.13,77,190,25.41,62.5,11.95
372,Intel Core i3-4120U,512KB + 3MB,15,2000,2/4,,,,,,,,,,,
374,Intel Celeron 2970M,512KB + 2MB,37,2200,2/2,29.6,2489,3222,6248,0.96,1.88,85,164,33.5,62.5,11.7
375,Intel Core i5-4300Y,512KB + 3MB,12,1600 ? 2300,2/4,26.6,1871,2982,4663,0.82,1.45,77,133,28.6,49.5,8.37
376,Intel Core i5-4302Y,512KB + 3MB,12,1600 ? 2300,2/4,23.6,,3310,6448,0.95,1.98,65,185,,,
377,Intel Pentium B980,512KB + 2MB,35,2400,2/2,29.8,2462.5,3109,5878.5,0.94,1.83,,,32.93,55,10.01
378,Intel Core i3-4030U,512KB + 3MB,15,1900,2/4,28,2519.5,2808,6285,0.8,2.03,70,191,26.46,64.8,12.1
379,Intel Core i3-4025U,512KB + 3MB,15,1900,2/4,,,,,,,,,,,
380,Intel Core M-5Y71,512KB + 4MB,5,1200 ? 2900,2/4,33.1,2503,3778,6518,1.14,2.09,96,187,17.81,85.13,11.47
381,AMD A10-4600M,4MB,35,2300 ? 3200,4/4,26.1,2865.5,2078,5696,0.7,2.01,63,185,26.49,57.54,13.1
382,AMD A10-4657M,4MB,35,2300 ? 3200,4/4,,,,,,,,,,,
383,Intel Core i3-2312M,512KB + 3MB,35,2100,2/4,,,,,,,,,,,
384,Intel Core i3-2310M,512KB + 3MB,35,2100,2/4,33.7,2517,2762,6190.5,0.84,2.01,,,25.8,,
385,Intel Core i3-2308M,512KB + 3MB,35,2100,2/4,,,,,,,,,,,
386,Intel Core i5-2557M,512KB + 3MB,17,1700 ? 2700,2/4,35.4,2750,3419,6533.5,,2.22,,,23.66,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
387,AMD A10-5745M,4MB,25,2100 ? 2900,4/4,25.9,2745,2065,5480,0.69,1.92,63.5,177,34.97,62.1,12.7
388,AMD A8-5550M,4MB,35,2100 ? 3100,4/4,27.6,2795,2321,5844,0.78,2.05,68,188,26.02,70.59,13.49
