Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
728,Intel Celeron N2840,1MB,8,2160 ? 2580,2/2,11,1510,1331,2533,0.44,0.89,38,76,,,
729,Intel Celeron J1750,1MB,10,2410,2/2,,,,,,,,,,,
730,Intel Celeron N3060,2MB,6,1600 ? 2480,2/2,18.9,,1241.5,2326.5,0.44,0.83,38,71,43.13,28.4,5.45
733,Intel Celeron N2910,2MB,8,1600,4/4,8.8,1612,844,2907,0.3,1.14,27,97,,,
734,AMD A6-1450,2MB,8,1000 ? 1400,4/4,18.9,1439,1064,2860.5,0.34,1.03,,,59.98,29.13,6.04
736,AMD A4 Micro-6400T,2MB,5,1000 ? 1600,4/4,18.6,1664,1251,3380,0.41,1.16,34,95,46.27,33.5,6.9
752,Qualcomm Snapdragon 630,,,2200,8/8,,,,,,,,,,,
753,Qualcomm Snapdragon 626,,,2200,8/8,,,,,,,,,,,
754,Qualcomm Snapdragon 801 MSM8974AC,2MB,,2450,4/4,,,,,,,,,,,
755,AMD A6-4455M,2MB,17,2100 ? 2600,2,21.3,1358.5,1689,2601,0.62,0.86,,,61.8,30.66,5.73
756,AMD A4-5145M,1MB,17,2000 ? 2600,2/2,,,,,,,,,,,
757,AMD A4-4355M,2MB,17,1900 ? 2400,2,24.6,1239,1690,2318,0.52,0.72,,,63.5,,
758,Samsung Exynos 5430 Octa,512KB,,1800,8/8,,,,,,,,,,,
759,Mediatek MT6595,2MB,,2200,8/8,,,,,,,,,,,
760,Intel Celeron N2830,1MB,8,2160 ? 2410,2/2,10.3,,1184.5,2239.5,0.43,0.82,38,67,,,
761,Qualcomm Snapdragon 801 APQ8074AB,2MB,,2360,4/4,,,,,,,,,,,
762,Qualcomm Snapdragon 801 MSM8974AB,2MB,,2360,4/4,,,,,,,,,,,
763,Intel Celeron N2820,1MB,8,2170 ? 2390,2/2,17.6,,1061,2010,0.36,0.69,32.5,58.5,48.5,26.5,5.8
764,Intel Celeron N3050,2MB,6,1600 ? 2160,2/2,17,1243,1099,2064,0.41,0.79,34,62.5,55.2,25.52,4.74
765,Intel Celeron N2815,1MB,8,1860 ? 2133,2/2,17.2,,1068,2038,0.36,0.69,32.5,55.5,57.75,24.1,4.53
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
766,Intel Celeron N3000,2MB,4,1040 ? 2080,2/2,,,,,,,,,,,
767,Intel Celeron N2810,1MB,8,2000,2/2,15.9,1043,993,1474,0.37,0.72,31,59,63.36,22.83,4.26
768,Nvidia Tegra 4,,,1800,4/4,,,,,,,,,,,
769,Intel Atom Z3680,1MB,0,1330 ? 2000,2/2,,,,,,,,,,,
770,Intel Atom Z3680D,1MB,0,1330 ? 2000,2/2,,,,,,,,,,,
791,Mediatek MT6595M,2MB,,2000,8/8,,,,,,,,,,,
792,VIA Nano QuadCore L4700,4MB,28,1200 ? 1460,4/4,12.7,1615,,,,,,,,,
793,Intel Pentium 3561Y,512KB + 2MB,12,1200,2/2,,,,,,,,,,,
794,Intel Pentium 3560Y,512KB + 2MB,12,1200,2/2,0.4,,,,,1.02,,,,,
795,Intel Celeron 2961Y,512KB + 2MB,12,1100,2/2,,,,,,,,,,,
796,Intel Pentium 2129Y,512KB + 2MB,10,1100,2/2,18.9,,1502,2860,0.45,0.88,39,72,71.52,29.27,5.15
797,Qualcomm Snapdragon 801 MSM8974AA,2MB,,2260,4/4,,,,,,,,,,,
798,Qualcomm Snapdragon 625,,,2000,8/8,,,,,,,,,,,
799,HiSilicon Kirin 925,,,1800,8/8,,,,,,,,,,,
800,Qualcomm Snapdragon 800 MSM8974,2MB,,2300,4/4,,,,,,,,,,,
802,Mediatek Helio P20 (LP4) MT6757,,,2300,8/8,,,,,,,,,,,
803,Samsung Exynos 5420 Octa,512KB,,1800,8/8,,,,,,,,,,,
804,HiSilicon Kirin 920,,,1700,8/8,,,,,,,,,,,
809,Samsung Exynos 7880,,,1900,8/8,,,,,,,,,,,
810,HiSilicon Kirin 935,,,2200,8/8,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
811,HiSilicon Kirin 659,,,2360,8/8,,,,,,,,,,,
812,HiSilicon Kirin 658,,,2350,8/8,,,,,,,,,,,
813,Mediatek Helio X10 MT6795,,,2200,8/8,,,,,,,,,,,
814,Mediatek Helio X20 MT6797,,,2300,10/10,,,,,,,,,,,
815,Samsung Exynos 7870 Octa,,,1600,8/8,,,,,,,,,,,
816,HiSilicon Kirin 655,,,2100,8/8,,,,,,,,,,,
817,HiSilicon Kirin 650,,,2000,8/8,,,,,,,,,,,
818,HiSilicon Kirin 930,,,2000,8/8,,,,,,,,,,,
819,Mediatek Helio P10 MT6755,,,2000,8/8,,,,,,,,,,,
820,Intel Pentium 977,512KB + 2MB,17,1400,2/2,31.3,1435,,,0.56,1.08,,,56,,
821,Intel Celeron 877,512KB + 2MB,17,1400,2/2,0.4,,,,,1.07,,,,,
822,Apple A7,1MB + 4MB,,1300,2/2,,,,,,,,,,,
823,Intel Atom Z3570,2MB,,2000,4/4,,,,,,,,,,,
831,Intel Pentium 967,512KB + 2MB,17,1300,2/2,25.4,1319,1640,3038,,0.95,,,58.63,,
832,Intel Celeron 867,512KB + 2MB,17,1300,2/2,,,,,,,,,,,
833,Intel Atom Z3560,2MB,,1830,4/4,,,,,,,,,,,
834,AMD E2-3000,1MB,15,1650,2/2,,,,,,,,,,,
836,Intel Pentium 957,512KB + 2MB,17,1200,2/2,,,,,,,,,,,
837,AMD E1-7010,1MB,10,1500,2/2,,,,,,,,,,,
838,Samsung Exynos 5410 Octa,512KB,,1600,8/8,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
839,Intel Atom Z3480,1MB,,2133,2/2,,,,,,,,,,,
840,Intel Atom x3-C3440,1MB,,1200 ? 1400,4/4,,,,,,,,,,,
843,Intel Celeron B730,256KB + 1.5MB,35,1800,1/2,,,,,,,,,,,
845,Samsung Exynos 5260 Hexa,,,1700,6/6,,,,,,,,,,,
851,Samsung Exynos 5410 Octa,512KB,,1600,8/8,,,,,,,,,,,
854,Intel Celeron 1019Y,512KB + 2MB,10,1000,2/2,,,,,,,,,,,
858,Mediatek MT8135,,,1700,4/4,,,,,,,,,,,
862,AMD E1-2500,1MB,15,1400,2/2,15.2,1021,1052,2016,0.34,0.61,27,44,79.61,20.44,4
863,AMD E1 Micro-6200T,1MB,4,1000 ? 1400,2/2,,,,,,,,,,,
864,AMD E1-6010,1MB,10,1350,2/2,14.5,927,1005.5,1783.5,0.33,0.59,25,49,95.8,18.78,3.75
867,Intel Atom Z3530,2MB,,1330,4/4,,,,,,,,,,,
868,Intel Celeron 847,512KB + 2MB,17,1100,2/2,22,992.5,1269.5,2407.5,0.41,0.65,,,80.36,,
870,Intel Celeron 807,256KB + 1.5MB,17,1500,1/2,,,,,,,,,,,
873,Intel Celeron B720,+ 1.5MB,35,1700,1/1,,,,,,,,,,,
874,Samsung Exynos 5250 Dual,1MB,,1700,2/2,,,,,,,,,,,
875,Mediatek MT8752,,,1700,8/8,,,,,,,,,,,
876,Mediatek MT6752,,,1700,8/8,,,,,,,,,,,
877,Samsung Exynos 7580 Octa,,,1600,8/8,,,,,,,,,,,
878,Qualcomm Snapdragon 617 MSM8952,,,1500,8/8,,,,,,,,,,,
879,Qualcomm Snapdragon 616 MSM8939v2,,,1700,8/8,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
880,Qualcomm Snapdragon 615 MSM8939,,,1700,8/8,,,,,,,,,,,
881,Intel Atom D2700,1MB,10,2130,2/4,4.7,1148,,,,0.72,,,,,
889,Rockchip RK3288,,,1800,4/4,,,,,,,,,,,
890,Mediatek MT6753,,,1500,8/8,,,,,,,,,,,
891,Mediatek MT6750,,,1500,8/8,,,,,,,,,,,
894,AMD E2-2000,1MB,18,1750,2/2,,,,,,,,,,,
895,Intel Celeron N2808,1MB,4,1580 ? 2250,2/2,,,,,,,,,,,
896,Qualcomm Snapdragon 610 MSM8936,,,1700,4/4,,,,,,,,,,,
897,MediaTek MT8163 V/A 1.5 GHz,,,1500,4/4,,,,,,,,,,,
898,Mediatek MT6592,1MB,,1700,8/8,,,,,,,,,,,
899,Qualcomm Snapdragon 600 APQ8064T,2MB,,1700,4/4,,,,,,,,,,,
900,Samsung Exynos 7578,,,1500,4/4,,,,,,,,,,,
901,HiSilicon Kirin 910T,,,1800,4/4,,,,,,,,,,,
902,MediaTek MT8163 V/B 1.3 GHz,,,1300,4/4,,,,,,,,,,,
903,MediaTek MT8161,,,1300,4/4,,,,,,,,,,,
904,Intel Atom x3-C3230RK,,,1100,4/4,,,,,,,,,,,
905,Qualcomm Snapdragon 435,,,1400,8/8,,,,,,,,,,,
906,Qualcomm Snapdragon 430,,,1400,8/8,,,,,,,,,,,
907,Qualcomm Snapdragon 415 MSM8929,,,1400,8/8,,,,,,,,,,,
908,AMD E2-1800,1MB,18,1700,2/2,17.3,1082.5,1110,2121,0.33,0.64,,,69.05,18.34,3.26
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
909,AMD E-450,1MB,18,1650,2/2,17.1,1034.5,1062.5,2020.5,0.32,0.62,,,64.5,16.17,2.89
910,AMD E-350,1MB,18,1600,2/2,22.5,1021,1048.5,2005,,0.61,,,68.8,,
911,AMD A4-1350,2MB,8,1000,4/4,,,,,,,,,,,
912,Intel Celeron 927UE,256KB + 1MB,17,1500,1/1,,,,,,,,,,,
913,Intel Celeron N2807,1MB,4,1580 ? 2160,2/2,16.4,,986,2093,0.26,0.54,35,65,57.36,17.01,3.15
917,Intel Celeron N2806,1MB,5,1580 ? 2000,2/2,6.4,1195,,,,0.64,26,58,,,
918,Intel Atom E3827,1MB,8,1750,2/2,,,,,,,,,,,
919,Intel Atom N2850,1MB,6,2000,2/4,,,,,,,,,,,
920,Intel Atom Z3460,1MB,,1600,2/2,,,,,,,,,,,
926,Qualcomm Snapdragon S4 Pro APQ8064A,2MB,,1500,4/4,,,,,,,,,,,
927,Mediatek MT8732,,,1500,4/4,,,,,,,,,,,
928,Mediatek MT8165,,,1500,4/4,,,,,,,,,,,
929,Mediatek MT6732,,,1500,4/4,,,,,,,,,,,
930,Mediatek MT6735,,,1500,4/4,,,,,,,,,,,
931,Qualcomm Snapdragon 425,,,1400,4/4,,,,,,,,,,,
932,Mediatek MT8735,,,1300,4/4,,,,,,,,,,,
933,Mediatek MT6737T,,,1500,4/4,,,,,,,,,,,
934,Mediatek MT6737,,,1250,4/4,,,,,,,,,,,
939,Rockchip RK3188,,,1800,4/4,,,,,,,,,,,
940,Intel Celeron B710,256KB + 1.5MB,35,1600,1/1,21.3,868,2051,,,0.62,,,88.4,20.28,3.53
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
942,AMD E1-1500,1MB,18,1480,2/2,,,,,,,,,,,
944,AMD E1-1200,1MB,18,1400,2/2,19.9,873.5,912,1682,0.27,0.53,,,76,,
950,AMD E-300,1MB,18,1300,2/2,19.3,838.5,853,1176,0.25,0.48,,,79,,
951,Samsung Exynos 7570 Quad,,,1400,4/4,,,,,,,,,,,
952,Qualcomm Snapdragon 410 MSM8916,,,1400,4/4,,,,,,,,,,,
953,Qualcomm Snapdragon 410 APQ8016,,,1200,4/4,,,,,,,,,,,
954,HiSilicon Kirin 620,,,1200,8/8,,,,,,,,,,,
969,Intel Celeron 797,256KB + 1.5MB,35,1400,1/1,,,,,,,,,,,
970,HiSilicon Kirin 910,,,1600,4/4,,,,,,,,,,,
993,Intel Atom D2560,1MB,10,2000,2/4,,,,,,,,,,,
996,Intel Atom D2550,1MB,10,1866,2/4,,,,,,,,,,,
997,Intel Atom N2800,1MB,6,1860,2/4,20,965,648,1829,,,,,54.3,19.7,3.67
998,AMD E1-2200,1MB,9,1050,2/2,,,,,,,,,,,
999,Intel Atom E3826,1MB,7,1460,2/2,,,,,,,,,,,
1000,Intel Celeron N2805,1MB,4,1460,2/2,15.8,885,756,1430,,,24,44,85.21,17.35,3.13
1001,AMD A4-1250,1MB,9,1000,2/2,12.4,740.5,663,1258,0.2,0.47,20.5,32.5,111.18,14.96,2.86
1002,AMD E1-2100,1MB,9,1000,2/2,12.8,772,765,1435,0.24,0.47,20,36,106.97,14.69,2.69
1003,AMD A4-1200,1MB,4,1000,2/2,12.4,733,705.5,1248,0.24,0.42,19,31,111.88,11.45,2.85
1004,AMD GX-210JA,1MB,6,1000,2/2,,,,,,,,,,,
1005,Intel Atom Z2760,1MB,2,1800,2/4,15.6,945,601.5,1696.5,0.18,0.53,,,58.13,17.75,3.28
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
1007,Intel Atom N2650,1MB,3,1733,2/4,,,,,,,,,,,
1008,Intel Atom E3825,1MB,6,1330,2/2,,,,,,,,,,,
1009,Intel Atom E3805,1MB,3,1330,2/2,,,,,,,,,,,
1020,Intel Atom N2600,1MB,4,1600,2/4,18.9,812,541,1527.5,,,,,66,9.8,9.9
1031,Qualcomm Snapdragon 400 MSM8928,,,1600,4/4,,,,,,,,,,,
1032,Qualcomm Snapdragon 400 APQ8028,,,1600,4/4,,,,,,,,,,,
1033,Mediatek MT6735P,,,1000,4/4,,,,,,,,,,,
1034,Mediatek MT6735M,,,1000,4/4,,,,,,,,,,,
1035,Marvell Armada PXA1908,,,1200,4/4,,,,,,,,,,,
1037,Apple A6x,,,1400,2,,,,,,,,,,,
1064,Intel Atom Z2580,1MB,3,1300 ? 2000,2/4,,,,,,,,,,,
1065,Qualcomm Snapdragon S4 Pro MSM8960DT,1MB,,1700,2/2,,,,,,,,,,,
1066,Qualcomm Snapdragon S4 Pro MSM8960T,1MB,,1700,2/2,,,,,,,,,,,
1080,AMD C-70,1MB,9,1000 ? 1333,2/2,18.4,782,798,1495,0.23,0.37,,,98.16,,
1081,Qualcomm Snapdragon 400 8930AB,1MB,,1700,2/2,,,,,,,,,,,
1082,AMD C-60,1MB,9,1000 ? 1333,2/2,18.6,753,767.5,1483,0.21,0.44,,,86.15,,
1083,Qualcomm Snapdragon S4 Plus APQ8060A,1MB,,1500,2/2,,,,,,,,,,,
1084,Qualcomm Snapdragon S4 Plus MSM8960,1MB,,1500,2/2,,,,,,,,,,,
1086,Qualcomm Snapdragon S4 Plus MSM8260A,1MB,,1500,2/2,,,,,,,,,,,
1090,Intel Atom Z2560,1MB,3,933 ? 1600,2/4,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
1091,AMD C-50,1MB,9,1000,2/2,18.9,635.5,661,1281.5,,0.38,,,111.21,,
1092,AMD Z-60,1MB,5,1000,2/2,14.8,,669,1249,0.2,0.37,,,114,11.24,1.95
1093,AMD Z-01,1MB,6,1000,2/2,,,,,,,,,,,
1098,Apple A6,,,1000,2,,,,,,,,,,,
1099,Intel Atom x3-C3130,512KB,,1000,2/2,,,,,,,,,,,
1100,AMD E-240,512KB,18,1500,1/1,22.3,500.5,937.5,,,0.26,,,137.4,,
1103,Samsung Exynos 4412 Quad,,,1400,4/4,,,,,,,,,,,
1104,NVIDIA Tegra 3,,,1200 ? 1300,4/4,,,,,,,,,,,
1105,Mediatek MT8127,512KB,,1500,4/4,,,,,,,,,,,
1106,Mediatek MT6589T,2MB,,1500,4/4,,,,,,,,,,,
1107,Mediatek MT8389,1MB,,1200,4/4,,,,,,,,,,,
1108,Mediatek MT8125,1MB,,1200,4/4,,,,,,,,,,,
1109,Spreadtrum SC9830A,,,1500,4/4,,,,,,,,,,,
1110,Samsung Exynos 3470 Quad,,,1400,4/4,,,,,,,,,,,
1111,Samsung Exynos 3475 Quad,,,1300,4/4,,,,,,,,,,,
1112,Mediatek MT8121,1MB,,1300,4/4,,,,,,,,,,,
1113,Mediatek MT6582,512KB,,1300,4/4,,,,,,,,,,,
1114,Mediatek MT6582M,512KB,,1300,4/4,,,,,,,,,,,
1115,Mediatek MT6580M,512KB,,1300,4/4,,,,,,,,,,,
1116,Spreadtrum SC7731,,,1300,4/4,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
1117,Qualcomm Snapdragon 212 APQ8009,,,1300,4/4,,,,,,,,,,,
1118,Qualcomm Snapdragon 400 MSM8926,,,1200,4/4,,,,,,,,,,,
1119,Qualcomm Snapdragon 400 MSM8226,,,1200,4/4,,,,,,,,,,,
1120,Qualcomm Snapdragon 400 APQ8026,,,1200,4/4,,,,,,,,,,,
1121,Mediatek MT6589,,,1200,4/4,,,,,,,,,,,
1122,Qualcomm Snapdragon 200 MSM8212,,,1200,4/4,,,,,,,,,,,
1123,Qualcomm Snapdragon 210 MSM8909,,,1100,4/4,,,,,,,,,,,
1124,Marvell PXA1088,,,1200,4/4,,,,,,,,,,,
1125,Qualcomm Snapdragon S4 Plus MSM8930,1MB,,1200,2/2,,,,,,,,,,,
1126,Qualcomm Snapdragon S4 Plus MSM8230,1MB,,1200,2/2,,,,,,,,,,,
1127,Qualcomm 205,,,1100,2/2,,,,,,,,,,,
1128,Intel Atom Z2480,512KB,,2000,1/2,,,,,,,,,,,
1129,Intel Atom E3815,512KB,5,1460,1/1,,,,,,,,,,,
1144,AMD C-30,512KB,9,1200,1/1,3.2,403,,,,,,,,,
1152,Intel Atom Z2460,512KB,4,1300 ? 1600,1/2,,,,,,,,,,,
1163,Qualcomm Snapdragon S4 Plus MSM8227,1MB,,1000,2/2,,,,,,,,,,,
1168,Samsung Exynos 4212 1.5 GHz,1MB,,1500,2/2,,,,,,,,,,,
1169,Texas Instruments OMAP 4470,,,1500,2/2,,,,,,,,,,,
1170,HiSilicon k3v2 Hi3620,,,1200,4/4,,,,,,,,,,,
1171,Rockchip RK3066 1.5 GHz,512KB,,1500,2/2,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
1172,Qualcomm Snapdragon S4 Play MSM8625Q,,,1200,4/4,,,,,,,,,,,
1173,Qualcomm Snapdragon 200 8225Q,,,1400,4/4,,,,,,,,,,,
1174,Qualcomm Snapdragon S4 Play MSM8225Q,,,1200,4/4,,,,,,,,,,,
1175,MediaTek MT8312,,,1300,2/2,,,,,,,,,,,
1176,Renesas MP5232,,,1500,2/2,,,,,,,,,,,
1177,Broadcom BCM21664T,,,1200,2/2,,,,,,,,,,,
1178,Marvell PXA986,,,1200,2/2,,,,,,,,,,,
1179,Amlogic AML8726-MX,512KB,,1500,2/2,,,,,,,,,,,
1180,Qualcomm Snapdragon S3 MSM8660,1MB,,1700,2/2,,,,,,,,,,,
1181,Qualcomm Snapdragon S3 MSM8260,1MB,,1500,2/2,,,,,,,,,,,
1182,Samsung Exynos 4210 1.4 GHz,1MB,,1400,2/2,,,,,,,,,,,
1187,Texas Instruments OMAP 4460,,1,1200,2/2,,,,,,,,,,,
1188,Rockchip RK3168,,,1200,2/2,,,,,,,,,,,
1189,Samsung Exynos 4210 1.2 GHz,1MB,,1200,2/2,,,,,,,,,,,
1190,MediaTek MT8377,1MB,,1200,2/2,,,,,,,,,,,
1191,Broadcom BCM28155,,,1200,2/2,,,,,,,,,,,
1192,Texas Instruments OMAP 4430,,1,1000,2/2,,,,,,,,,,,
1193,MediaTek MT6572,1MB,,1200,2/2,,,,,,,,,,,
1194,Spreadtrum SC8830,512KB,,1200,4/4,,,,,,,,,,,
1195,Apple A5x,,,1000,2,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
1196,Qualcomm Snapdragon S4 Play MSM8225,,,1500,2/2,,,,,,,,,,,
1197,Intel Atom Z2420,512KB,,1200,1/2,,,,,,,,,,,
1198,Apple A5,,,1000,2,,,,,,,,,,,
1199,Nvidia Tegra 2 (250),1MB,1,1000,2/2,,,,,,,,,,,
1200,Qualcomm Snapdragon 200 8210,,,1200,2/2,,,,,,,,,,,
1201,MediaTek MT8317T,,,1200,2/2,,,,,,,,,,,
1202,MediaTek MT6577,,,1000,2/2,,,,,,,,,,,
1203,ST-Ericsson NovaThor U8500,,,1000,2/2,,,,,,,,,,,
1204,ST-Ericsson NovaThor U8420,,,1000,2/2,,,,,,,,,,,
1212,MediaTek MT6575,,,1000,1/1,,,,,,,,,,,
1218,Qualcomm Snapdragon S2 MSM8255,,,1500,1/1,,,,,,,,,,,
1219,Rockchip RK2918 1.2 GHz,,,1200,1/1,,,,,,,,,,,
1220,AllWinner A10,,,1200,1/1,,,,,,,,,,,
1221,ARM Cortex A8 1.2 GHz,,,1200,1/1,,,,,,,,,,,
1222,Apple A4,,,1000,1/1,,,,,,,,,,,
1223,AllWinner A13,,,1000,1/1,,,,,,,,,,,
1224,WonderMedia PRIZM WM8950,,,1000,1/1,,,,,,,,,,,
1225,Samsung Hummingbird S5PC110 / Exynos 3110,,,1000,1/1,,,,,,,,,,,
1226,Qualcomm Snapdragon S1 MSM7227A,256KB,,1000,1/1,,,,,,,,,,,
1227,Qualcomm Snapdragon S1 MSM7225A,256KB,,1000,1/1,,,,,,,,,,,
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
1228,Texas Instruments OMAP 3630 1GHz,,,1000,1/1,,,,,,,,,,,
1229,Texas Instruments OMAP 3622,,,1000,1/1,,,,,,,,,,,
1230,Rockchip RK2918,,,1000,1/1,,,,,,,,,,,
1231,Telechips TCC8803 1GHz,,,1000,1/1,,,,,,,,,,,
1232,ZiiLABS ZMS-08,,,1000,1/1,,,,,,,,,,,
1233,ARM Cortex A8 1GHz,,,1000,1/1,,,,,,,,,,,
1234,Actions ACT-ATM7029,,,1000,4/4,,,,,,,,,,,
1235,Qualcomm Snapdragon S1 QSD8250,,,1000,1/1,,,,,,,,,,,
1238,Loongson 2F 900MHz,512KB,4,900,1/1,,,,,,,,,,,
1239,Qualcomm Snapdragon S1 MSM7227,,,600,1/1,,,,,,,,,,,
1240,CSR8670,,,80,2,,,,,,,,,,,