Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
"Архивные (старые): AMD Radeon R7 M380, NVIDIA GeForce GT 650M (N13E-GE), NVIDIA Quadro K620M, AMD Radeon HD 7770M (Chelsea XT), NVIDIA GeForce GTX 560M (N12E-GS), NVIDIA GeForce GTX 260M SLI (NB9E-GTX), ATI Mobility Radeon HD 5870 (Broadway-XT), NVIDIA Quadro 5000M (Fermi), ATI FirePro M7820, AMD Radeon HD 6870M (Granville-PRO), NVIDIA GeForce 9800M GTX SLI (NB9E-GTX), AMD Radeon HD 8830M, AMD Radeon HD 8770M, NVIDIA GeForce GTX 460M (N11E-GS), AMD Radeon HD 8550G + HD 8750M Dual Graphics, NVIDIA GeForce GT 645M (N13P-GS), AMD Radeon HD 7750M (Lombok XL), AMD Radeon HD 8750M (Mars Pro), NVIDIA Quadro 3000M (Fermi), NVIDIA Quadro FX 3800M (N10E-GLM4), NVIDIA GeForce GTX 285M (N10E-GTX1), ATI Mobility Radeon HD 4870 (M98-XT), AMD Radeon HD 7730M (Lombok GL), NVIDIA GeForce GTX 280M (N10E-GTX), NVIDIA GeForce 9800M GT SLI (NB9E-GT2), AMD Radeon HD 8690M, NVIDIA GeForce 9800M GTS SLI (NB9E-GT), ATI Mobility Radeon HD 3870 X2 (M88-XT CF), NVIDIA GeForce 8800M GTX SLI (NB8E-GTX), ATI Mobility Radeon HD 3850 X2 (M88 CF), NVIDIA Quadro FX 3700M (NB9E-GLM3), ATI Mobility Radeon HD 4860 (M97-XT), ATI FirePro M7740 (RV740), ATI Mobility Radeon HD 4850 (M98), NVIDIA GeForce GTX 260M (N10E-GT), NVIDIA GeForce 9800M GTX (NB9E-GTX), NVIDIA Quadro FX 2800M (NB10-GLM3), AMD Radeon HD 6775G2, AMD Radeon HD 7690M XT (Thames XTX), AMD FirePro M5950 (Whistler-XT), NVIDIA GeForce GT 640M LE (N13P-LP), AMD Radeon HD 8650M, AMD Radeon HD 8730M, AMD Radeon HD 6770M (Whistler-XT), NVIDIA GeForce GT 635M (N13E-GE2), NVIDIA GeForce GT 555M (N12E-GE-B), ATI Mobility Radeon HD 5850 (Broadway-PRO), AMD Radeon HD 6850M (Granville Pro/LP), NVIDIA Quadro 2000M (Fermi), NVIDIA GeForce 9800M GT (NB9E-GT2), NVIDIA GeForce 8800M GTX (NB8E-GTX), NVIDIA Quadro FX 3600M (NB8E-GLM), NVIDIA GeForce GT 445M (N11E-GE), NVIDIA GeForce GTS 360M (N11E-GS1), AMD Radeon HD 6755G2, AMD Radeon HD 7690M (Thames XT / XTX), AMD Radeon HD 8650G + HD 8670M Dual Graphics, AMD Radeon HD 8650G + HD 8570M Dual Graphics, AMD Radeon HD 7660G + HD 7670M Dual Graphics, AMD Radeon HD 8550G + HD 8670M Dual Graphics, AMD Radeon HD 8670M, AMD Radeon HD 6750M (Whistler-PRO), NVIDIA GeForce GT 550M (N12P-GT), AMD Radeon HD 8590M, NVIDIA GeForce GTS 260M (N10E-GS), NVIDIA GeForce GTS 160M (N10E-GS1), NVIDIA GeForce 9800M GTS (NB9E-GT), AMD Radeon HD 6830M (Granville-LP), ATI Mobility Radeon HD 5830 (Broadway), AMD Radeon HD 6760G2, AMD Radeon HD 6740G2, AMD Radeon HD 6730M (Whistler-XT), NVIDIA GeForce 9800M GS (NB9E-GS1), ATI Mobility Radeon HD 4830 (M97), ATI Mobility Radeon HD 5770 (Madison-XT), AMD Radeon HD 6570M (Capilano), AMD Radeon HD 7640G + HD 7670M Dual Graphics, AMD Radeon HD 6620G + HD 7670M Dual Graphics, AMD Radeon HD 7520G + HD 7670M Dual Graphics, AMD Radeon HD 7670M (Thames XT), NVIDIA GeForce GT 630M (N13P-GL/GL2), NVIDIA GeForce GTS 150M (N10E-GE1), NVIDIA Quadro 1000M (Fermi), NVIDIA GeForce 8800M GTS (NB8E-GT), ATI Mobility Radeon HD 5750 (Madison-XT), AMD Radeon HD 6720G2, AMD Radeon HD 8450G + Radeon HD 8570M Dual Graphics, AMD Radeon HD 8570M, AMD Radeon HD 8550M, NVIDIA GeForce GT 540M (N12P-GS)",,,,,,,,,,,,,,,,,,
"4. Видеокарты, слабо подходящие для игр
Они позволяют запускать некоторые нетребовательные современные игры. Впрочем, производительности данных видеокарт более чем достаточно для обычных офисных задач и просмотра HD-видео. Плюсом интегрированных видеокарт обычно является наибольшее достижимое время автономной работы использующих их ноутбуков.",,,,,,,,,,,,,,,,,,
397,AMD Radeon HD 8610G,Terascale 3,384,,533,626,,,,11,4.2,3.3,,2749,475,889,3538,
400,Intel HD Graphics 4600,Haswell,20,,200,1350,,64/128,,11.1,4.0,6.6,42242.5,5613,635.5,910.5,7362,78
402,Intel HD Graphics 5500,Broadwell,24,,300,950,,64/128,,12 (FL 11_1),4.3,7,58776,5544,663,979,6998,70.9
407,Intel HD Graphics 615,Intel Gen. 9 (Kaby Lake),24,,300,1050,,64/128,DDR3L/LPDDR3,12 (FL 12_1),4.4,8.5,71510.5,6360,853,1227,7654,
408,AMD Radeon R5 (Carrizo),GCN 1.2/2.0,256,,,800,,64/128,,12 (FL 12_0),4.4,3.1,,5804,1001,1711,,
409,AMD Radeon R5 (Kaveri),GCN 1.1,256,,514,626,,64/128,,12 (FL 12_0),,4,,3959,572,901,4317,
412,NVIDIA GeForce 710M,Fermi,96,,775,800,1800,64,DDR3,11,,6.6,,5323,768.5,1106.5,7993,
413,AMD Radeon HD 7660G,Terascale 3,384,,497,686,,,,11,4.2,9,65558,6408.5,,1057,7317,93
416,Intel HD Graphics 5000,Haswell,40,,200,1100,,64/128,,11.1,4.0,6.9,65904,5693.5,715.5,1033.5,5940,72.5
432,AMD Radeon HD 8550G,Terascale 3,256,,515,720,,,,11,4.2,7.8,67801,6107,792,1179,7314,87
448,Intel HD Graphics 515,Intel Gen. 9 (Skylake),24,,300,1000,,64/128,DDR3L/LPDDR3,12 (FL 12_1),4.4,6.7,56787,5510,697,1011,6446,73.2
449,Intel HD Graphics 4400,Haswell,20,,200,1100,,64/128,,11.1,4.0,5.1,37082,4953,569,735.5,5164,60.5
450,Intel HD Graphics 610,Intel Gen. 9 (Kaby-Lake),12,,300,950,,64/128,DDR3/DDR4,12 (FL 12_1),4.4,6.3,43596,5495,622,842,6869,72.4
451,Intel HD Graphics 510,Intel Gen. 9 (Skylake),12,,300,950,,64/128,DDR3/DDR4,12 (FL 12_1),4.4,7.1,43274,5664,621,847,7253,121.9
480,Intel HD Graphics 5300,Broadwell,24,,100,900,,64/128,,12 (FL 11_1),4.3,5.5,59555,3720,439,647,4775,55
481,Intel HD Graphics 505,Intel Gen. 9 (Apollo Lake),18,,300,750,,64/128,(LP)DDR3(L) / LPDDR4,12 (FL 12_1),4.4,4,31823,3598,482,651,3721,47.2
490,Intel HD Graphics 4000,Ivy Bridge,16,,350,1350,,64/128,,11,3.1,4.6,44323.5,3768.5,480,523,4412.5,39
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
493,AMD Radeon R4 (Stoney Ridge),GCN 1.2/2.0,192,,,600,,64,,12 (FL 12_0),4.4,4.7,42677,3416,583,956,3886,53.4
494,AMD Radeon R4 (Kaveri),GCN 1.1,192,,533,,,64/128,,12 (FL 12_0),,3.4,26079,3371.5,433.5,611,3179,36.2
495,Intel HD Graphics (Broadwell),Broadwell,12,,100,850,,64/128,,12 (FL 11_1),4.3,4.1,,4015,463,641,5077,47.12
496,Intel HD Graphics 500,Intel Gen. 9 (Apollo Lake),12,,300,700,,64/128,(LP)DDR3(L) / LPDDR4,12 (FL 12_1),4.4,3.3,20317,2851.5,310,433,3573,
498,AMD Radeon R5 (Beema/Carrizo-L),GCN 1.1,128,,,850,,64,,12 (FL 12_0),,4.8,36807,3317,539,764,4956,51
499,AMD Radeon R4 (Beema),GCN 1.1,128,,800,,,64,,12 (FL 12_0),,4.2,29548,3309,497,716,4046,
500,AMD Radeon R2 (Stoney Ridge),GCN 1.2/2.0,128,,,600,,64,,12 (FL 12_0),4.4,4.3,38670,3634,520,747,3809,42.7
501,Intel HD Graphics 4200,Haswell,20,,200,850,,64/128,,11.1,4.0,4.1,41579,3807,431.5,638,3383,37.5
510,AMD Radeon HD 8450G,Terascale 3,192,,533,720,,,,11,4.2,5.1,55358,3168.5,464.5,724,3868,65
514,AMD Radeon HD 8400,GCN,128,,600,,,,,11.1,,3.8,36156,2883,401,614,3532,36
526,AMD Radeon HD 8350G,Terascale 3,128,,514,720,,,,11,4.2,5.3,46807,2942,388,624,5139,
527,AMD Radeon HD 8330,GCN,128,,500,,,,,11.1,,2.9,,2672,351,530,3334.5,37
530,AMD Radeon R3 (Mullins/Beema),GCN 1.1,128,,350,686,,64,,12 (FL 12_0),,3.4,,3049,419.5,620,4010,
548,Intel HD Graphics 405 (Braswell),Intel Gen8,16,,320,700,,64/128,,11.2,,3,23763,2113,254.5,473,2920,41.3
549,Intel HD Graphics (Braswell),Intel Gen8,16,,320,700,,64/128,,11.2,,1.7,,2193,261,395,1311,33
550,Intel HD Graphics 400 (Braswell),Intel Gen8,12,,320,640,,64/128,,11.2,,2.2,20535.5,2181,,382,,31
559,Intel HD Graphics (Haswell),Haswell,10,,200,1000,,64/128,,11.1,,4.2,43493,3278,362.5,484,3357.5,53.5
"Архивные (старые): AMD Radeon HD 6690G2, AMD Radeon HD 6650M (Whistler-PRO), ATI Mobility Radeon HD 5730 (Madison), ATI FirePro M5800 (Madison), NVIDIA NVS 5400M (N13P-NS1), NVIDIA GeForce GT 435M (N11P-GT), AMD Radeon HD 6680G2, NVIDIA Quadro K510M, AMD Radeon HD 6550M (Capilano-PRO), AMD Radeon HD 7590M (Thames XT), NVIDIA GeForce GTS 350M (n11e-ge1), NVIDIA GeForce GTS 250M (N10E-GE), AMD Radeon HD 6630M (Whistler-LP), AMD Radeon HD 7650M (Thames-LP/Pro), AMD FirePro M2000 (Turks GLM), AMD Radeon HD 7570M (Thames-Pro / XT), AMD Radeon HD 7630M (Thames-LP), NVIDIA Quadro FX 1800M, ATI Mobility Radeon HD 5650 (Madison Pro), AMD Radeon HD 8510G (Trinity), AMD Radeon HD 6530M (Capilano-LP), NVIDIA Quadro K500M (N14M-Q1), NVIDIA GeForce GT 625M (N13M-GS), NVIDIA GeForce GT 620M (N13P-GLP / N13M-GS), NVIDIA GeForce GT 525M (N12P-GE), AMD Radeon HD 7640G + HD 7610M Dual Graphics, AMD Radeon HD 7610M (Thames-LE), AMD Radeon HD 7620G (Trinity), AMD Radeon HD 7640G (Trinity), NVIDIA NVS 5200M (N13M-NS), ATI Mobility Radeon HD 565v, AMD Radeon HD 7550M (Thames-LP / Pro), ATI Mobility Radeon HD 4670 (M96-XT), NVIDIA GeForce GT 425M (N11P-GS), NVIDIA GeForce 9700M GTS (NB9E-GS), AMD Radeon HD 6645G2, NVIDIA Quadro FX 2700M (NB9E-GLM2), NVIDIA GeForce GT 335M (N11P-GS1), AMD Radeon HD 7500G + HD 7550M Dual Graphics, AMD Radeon HD 7600G (Trinity), ATI Mobility Radeon HD 3870 (M88-XT), AMD Radeon HD 6620G + HD 7450M Dual Graphics, AMD Radeon HD 6640G2, ATI Mobility Radeon HD 5165, ATI Mobility Radeon HD 560v, ATI Mobility Radeon HD 4650 (M96), NVIDIA GeForce Go 7950 GTX SLI (G71M), NVIDIA GeForce Go 7900 GTX SLI (G71M), NVIDIA GeForce GT 420M (N11P-GE), AMD Radeon HD 7530M (Thames-LP), ATI Mobility Radeon HD 3850 (M88), NVIDIA GeForce GT 330M (N11P-GE1), NVIDIA Quadro FX 880M (N10P-GLM), NVIDIA Quadro NVS 5100M (N10P-NS), NVIDIA GeForce GT 240M (N10P-GS), AMD Radeon HD 7490M (Seymour XTX), AMD Radeon HD 7510M (Thames-LE), NVIDIA GeForce Go 7950 GTX (G71M), NVIDIA Quadro FX 3500M (G71GLM), NVIDIA GeForce 8700M GT SLI (NB8E-SE), NVIDIA GeForce 9700M GT (NB9E-GE), NVIDIA GeForce GT 230M (N10P-GE), ATI Mobility Radeon HD 550v, AMD Radeon HD 6620G (Llano), Intel HD Graphics (Skylake) (Skylake GT1), AMD Radeon HD 6545G2, AMD Radeon HD 6520G + HD 7450M Dual Graphics, AMD Radeon HD 6540G2, AMD Radeon HD 7500G (Trinity), AMD Radeon HD 6480G + HD 7450M Dual Graphics, AMD Radeon HD 6515G2, AMD Radeon HD 7470M (Seymour XT / XTX), AMD Radeon HD 6490M (Seymour XT), AMD Radeon HD 8410G (Trinity), NVIDIA GeForce GT 520MX (N12P-GVR), AMD Radeon HD 7520G (Trinity), NVIDIA GeForce GT 325M (N11P-GV1), NVIDIA GeForce Go 7800 GTX SLI (G70M), NVIDIA GeForce 8600M GT SLI (NB8P-GS), NVIDIA GeForce Go 7900 GS SLI (G71M), NVIDIA GeForce GT 130M (N10P-GE1), NVIDIA NVS 4200M, NVIDIA GeForce Go 7900 GTX (G71M), NVIDIA Quadro FX 2500M (G71glm), NVIDIA GeForce 9650M GS (NB9P-GS1), NVIDIA GeForce 9650M GT (NB9P-GT), NVIDIA GeForce 8700M GT (NB8E-SE), NVIDIA Quadro FX 1700M (NB9P-GLM), NVIDIA Quadro FX 1600M (NB8P-GLM), NVIDIA GeForce Go 7800 GTX (G70M), NVIDIA GeForce Go 7900 GS (G71M), NVIDIA Quadro NVS 320M (G84M), NVIDIA Quadro FX 1500M (G71GLM), NVIDIA GeForce 9600M GT (NB9P-GS), NVIDIA GeForce GT 220M (G96M), NVIDIA Quadro FX 770M (NB9P-GLM), NVIDIA GeForce GT 120M (N10P-GV1), AMD Radeon HD 6510G2, AMD Radeon HD 7450M (Seymour-PRO), NVIDIA GeForce 610M (N13M-GE), NVIDIA GeForce 705M, AMD Radeon HD 6470M (Seymour XT), AMD FirePro M3900 (Seymour XT), NVIDIA GeForce GT 520M (N12P-GP/LV), AMD Radeon HD 7420G (Trinity), ATI Mobility Radeon HD 3670 (M86XT), ATI Mobility FireGL V5725 (M86GL), AMD Radeon HD 6520G (Llano), AMD Radeon HD 8310G (Trinity), NVIDIA GeForce 320M (MCP89), NVIDIA GeForce GT 320M, ATI Mobility Radeon HD 2600 XT (M76-XT), ATI Mobility Radeon X1900 (M59), ATI Mobility Radeon X1800XT (M58, R520), ATI Mobility Radeon X1800 (M58), NVIDIA GeForce Go 6800 Ultra (NV41M), NVIDIA GeForce Go 7800 (G70M), NVIDIA GeForce 9600M GS (NB9P-GE), NVIDIA GeForce 9500M GS (NB9P-GE1), AMD Radeon HD 7400G (Trinity), AMD Radeon HD 6480G (Llano), ATI Mobility Radeon HD 2700 (M76-XT), NVIDIA GeForce GT 415M (N11P-GV), NVIDIA GeForce 410M (N12M-GS), AMD Radeon HD 7370M (Robson XT)",,,,,,,,,,,,,,,,,,
"5. Видеокарты класса Low-End
Эти графические чипы позволяют играть только в старые и не очень требовательные игры. Графические ядра с разделяемой памятью позволяют достичь более длительного времени работы от батареи и меньшего уровня нагрева. Офисные задачи, интернет, обработка (небольших) изображений и просмотр (не HD) видео для них не составляет особого труда.",,,,,,,,,,,,,,,,,,
579,Intel HD Graphics (Cherry Trail),Intel Gen8,16,,200,600,,64/128,,12 (FL 11_1),4.3,2.5,19303,1783.5,225,298,2595,32
581,AMD Radeon HD 8280,GCN,128,,450,,,,,11.1,,1.1,,2515,328,496,,
589,AMD Radeon R6 (Mullins),GCN 1.1,128,,500,,,64,,12 (FL 12_0),,2.9,20511,2258,,,,
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
590,AMD Radeon HD 8240,GCN,128,,400,,,,,11.1,,2.3,,2273,292.5,427.5,2636,
591,AMD Radeon HD 8250,GCN,128,,300,400,,,,11.1,,2.2,,1965,253.5,422.5,2570,
595,AMD Radeon R2 (Mullins/Beema/Carrizo-L),GCN 1.1,128,,300,600,,64,,12 (FL 12_0),,2.7,,2650,373,397,3242,36
616,AMD Radeon HD 8210,GCN,128,,300,,,,,11.1,,2.6,26764,1904.5,227,343.5,2177.5,25
620,Intel HD Graphics (Ivy Bridge),Ivy Bridge,6,,350,1100,,64/128,,11.0,,2.3,,2286,285.5,315,2930,27
660,Intel HD Graphics (Bay Trail),Ivy Bridge,4,,311,896,,32/64/128,,11,"4.0, ES 3.0",1.7,14748.5,1228.5,149,185,1867,16
664,AMD Radeon HD 7340,Terascale 2,80,,523,680,,,,11,,2.1,,1908,224,331.5,2466.5,
666,AMD Radeon HD 7310,Terascale 2,80,,500,,,,,11,,1.4,,1593,192,260,1458.5,
668,AMD Radeon HD 8180,GCN,128,,225,,,,,11.1,,1.5,,1493,145,268,1723.5,
684,AMD Radeon HD 7290,Terascale 2,80,,280,400,,,,11,,2,,,,206,1536,
"Архивные (старые): AMD Radeon HD 6370M (Robson XT), ATI Mobility Radeon HD 5470 (Park XT), AMD Radeon HD 6450M (Seymour-PRO), AMD Radeon HD 7430M (Seymour-PRO), ATI Mobility Radeon HD 3650 (M86), ATI Mobility FireGL V5700 (M86-GL), ATI Mobility Radeon HD 5145, ATI Mobility Radeon HD 545v, ATI Mobility Radeon HD 4570 (M92-XT), NVIDIA Quadro FX 570M (G64GLM), ATI Mobility Radeon HD 5450 (Park Pro), NVIDIA GeForce 8600M GT (G84M), ATI Mobility Radeon HD 2600 (M76), Intel HD Graphics 3000 (Sandy Bridge), NVIDIA Quadro FX 380M (n10m-glm), NVIDIA GeForce 310M (N11M-GE1), NVIDIA GeForce G210M (N10M-GS), NVIDIA NVS 3100M (N10M-NS), NVIDIA GeForce 405M, NVIDIA GeForce 315M (N11M-GE), NVIDIA GeForce Go 7600 GT (G73M), NVIDIA GeForce 9500M G (NB9P), NVIDIA GeForce 8600M GS (G84M), NVIDIA NVS 2100M, NVIDIA GeForce Go 7700 (G73M-B1), NVIDIA GeForce Go 6800 (NV42M), NVIDIA Quadro FX Go 1400 (NV41M), ATI Mobility Radeon X800XT (M28Pro), AMD Radeon HD 6430M (Seymour-LP), AMD Radeon HD 6380G (Llano), ATI Mobility Radeon HD 5430 (Park LP), ATI Mobility Radeon HD 540v, ATI Mobility Radeon HD 4550 (M92), Intel HD Graphics 2500 (Ivy Bridge GT1), AMD Radeon HD 7350M (Robson Pro), AMD Radeon HD 6350M (Robson Pro), ATI Mobility Radeon HD 4530 (M92), ATI Mobility Radeon HD 4350 (M92), ATI Mobility Radeon HD 530v (M92), NVIDIA GeForce 305M (n11m-lp1), ATI Mobility Radeon X1700 (M66-P), ATI Mobility FireGL V5250 (M56GL), ATI Mobility Radeon X2500 (M66), NVIDIA GeForce Go 7600 (G73M), NVIDIA Quadro NVS 300M (G72GLM), ATI Mobility Radeon X800 (M28), ATI Mobility Radeon X1600 (M56), ATI Mobility FireGL V5200 (M56GL), ATI Mobility Radeon 9800 (M18), NVIDIA GeForce Go 6600 (NV43M), ATI Mobility Radeon X1450 (M54), ATI Mobility Radeon X700 (M26), ATI Mobility FireGL V5000 (M26GL), NVIDIA GeForce G 110M (N10M-GS1), AMD Radeon HD 6330M (Robson LP), ATI Mobility Radeon HD 4330 (M92-SE), NVIDIA GeForce 8400M GT (G86M), NVIDIA Quadro NVS 140M (G84M), Intel HD Graphics 2000 (Sandy Bridge), NVIDIA GeForce G 107M, NVIDIA GeForce G 105M (N10M-GE1), NVIDIA GeForce G 103M (G98), NVIDIA GeForce 9500M GE (MCP79Mx + NB9M), NVIDIA GeForce G 102M (MCP75), NVIDIA GeForce G 205M (MCP79MX), NVIDIA GeForce 9400M (G) / ION (LE) (MCP79MX), Intel HD Graphics (Sandy Bridge) (Sandy Bridge), VIA Chrome9HD, AMD Radeon HD 6320 (Zacate), AMD Radeon HD 6310 (Zacate), ATI Mobility Radeon HD 3470 Hybrid X2 (M82-XT + RS780M), NVIDIA GeForce 9400M GeForceBoost, ATI Mobility Radeon HD 3470 (M82-XT), NVIDIA GeForce 9300M G (NB9M-GS1), NVIDIA ION 2 (GT218-ION-A3, GT218-ILV-A3), NVIDIA GeForce 9300M GS (NB9M-GS), NVIDIA Quadro FX 370M (NB9M-GLM), NVIDIA Quadro NVS 160M, NVIDIA GeForce 9200M GS (NB9M-GE), ATI Mobility Radeon HD 3450 (M82), ATI Mobility Radeon HD 3430 (M82-SE), ATI Mobility Radeon HD 3410 (M82-MPE), ATI Mobility Radeon HD 2400 XT (M74), ATI Radeon HD 4270 (RS880M), ATI Radeon HD 4250 (RS880M), AMD Radeon HD 6290 (Zacate), ATI Radeon HD 4200 (RV620), Intel Graphics Media Accelerator (GMA) HD Graphics (GMA HD), AMD Radeon HD 6250 (Zacate), NVIDIA Quadro NVS 150M, NVIDIA Quadro FX 360M (NB8M-GLM), ATI Mobility Radeon X1350 (M52), ATI Mobility Radeon X1400 (M54), NVIDIA GeForce 9100M G (MCP77MH MCP79MH), NVIDIA GeForce 8400M GS (G86M), NVIDIA Quadro NVS 135M (G86M), ATI Mobility Radeon HD 2400 (M72), ATI Radeon HD 3200 (RS780M), ATI Radeon HD 4225 (RS880M), ATI Radeon HD 4100, ATI Mobility Radeon HD 3400, ATI Radeon HD 3100 (RS780MC), NVIDIA GeForce 8400M G (G86M), NVIDIA Quadro NVS 130M (G86M), NVIDIA GeForce 8200M G (MCP77MV MCP79MVL), Intel Graphics Media Accelerator (GMA) 4700MHD (Montevina), Intel Graphics Media Accelerator (GMA) 4500MHD (Montevina), Intel Graphics Media Accelerator (GMA) 4500M (GL40), NVIDIA GeForce Go 7400 (G72M), NVIDIA Quadro FX 350M (G72M), NVIDIA Quadro NVS 120M (G72M), NVIDIA GeForce Go 7300 (G72M), NVIDIA Quadro NVS 110M (G72M), ATI Mobility Radeon X600 (M24), ATI Mobility FireGL V3200 (M24GL), ATI Mobility FireGL V3100 (M22GL), ATI Mobility Radeon X2300 (M64), ATI Mobility Radeon HD 2300 (M71), ATI Mobility Radeon 9700 (M11), ATI Mobility FireGL T2e (M11GL), ATI Mobility Radeon X1300 (M52), NVIDIA GeForce4 4200 Go (NV28M), ATI Mobility Radeon 9600 (M10), ATI Mobility FireGL T2 (M10GL), ATI Mobility Radeon 9550 (M12), NVIDIA GeForce Go 7200 (G72M), NVIDIA GeForce Go 6400 (NV44M1), ATI Mobility Radeon X300 (M22), NVIDIA GeForce Go 6250 (NV44M1), NVIDIA GeForce Go 6200 (NV44MV), NVIDIA GeForce FX Go 5700 (NV36M), NVIDIA Quadro FX Go 1000, NVIDIA GeForce FX Go 5600 / 5650 (NV31M), ATI Radeon Xpress X1270 (M690T), ATI Radeon Xpress X1250 (RS690M), ATI Radeon Xpress 1250, ATI Radeon Xpress X1200 (RS690M), Intel Graphics Media Accelerator (GMA) X3100 (Crestline), Intel Graphics Media Accelerator (GMA) 3650 (Cedar Trail), NVIDIA GeForce 7190M, NVIDIA GeForce 7150M (C67), ATI Radeon Xpress 1150 (RS482M), NVIDIA GeForce Go 6150 (C51MV), NVIDIA GeForce Go 6100 (C51MV), NVIDIA GeForce 7000M (C67), Intel Graphics Media Accelerator (GMA) 3600 (Cedar Trail), ATI Mobility Radeon 9200 (M9), ATI Mobility FireGL 9000 (M9GL), NVIDIA GeForce FX Go 5200 (NV31M), ATI Mobility Radeon 9000 (M9), NVIDIA GeForce 4 488 Go (NV17M), NVIDIA GeForce 4 460 Go (NV17M), NVIDIA GeForce 4 440 Go (NV17M), NVIDIA GeForce 4 420 Go (NV17M), Intel Graphics Media Accelerator (GMA) 3150 (Pineview), Intel Graphics Media Accelerator (GMA) 950 (GMA 950), ATI Mobility Radeon 7500 (RV200), ATI Mobility FireGL 7800, Intel Graphics Media Accelerator (GMA) 900 (GMA 900), ATI Radeon Xpress 200M, ATI Radeon Xpress 1100, SIS Mirage 3+ 672MX (SISM672), SIS Mirage 3 671MX (671MX), Intel Graphics Media Accelerator (GMA) 600 (GMA 600), Intel Graphics Media Accelerator (GMA) 500 (GMA 500), NVIDIA GeForce 3 Go, NVIDIA GeForce 2 Go (200 / 100) (NV11), ATI Mobility Radeon 9100 IGP (RS350), ATI Mobility Radeon 9000 IGP (RC350), ATI Mobility Radeon M7 (M7), ATI Mobility Radeon M6 (M6), VIA Chrome9 HC (VN896), Intel Extreme Graphics 2 (Montara), ATI Mobility Radeon 7000 IGP (R100), ATI Radeon IGP 340M, ATI Radeon IGP 320M, VIA S3G UniChrome Pro II (Zoetrope), VIA S3G UniChrome Pro (Zoetrope), VIA Castle Rock (CLE266), SIS Mirage 2 M760 (M760), SIS Mirage M661FX , VIA S3 Graphics ProSavage8, ATI Mobility 128 M3 (M3), Silicon Motion SM502, unknown",,,,,,,,,,,,,,,,,,
